PH_Width,PH_Length,PH_Depth,PH_Type,PH_Label
3.186,4.873,0.005,0,drivable_path
3.207,6.361,0.005,0,drivable_path
3.292,7.9,0.005,0,drivable_path
3.293,4.388,0.003,0,drivable_path
3.329,7.756,0.002,0,drivable_path
0.912,3.43,0.095,3,Crater
0.456,0.687,0.039,2,Mid_ph
2.825,4.274,0.002,0,drivable_path
3.499,5.207,0.005,0,drivable_path
0.313,0.466,0.016,1,Sml_ph
2.753,3.522,0.004,0,drivable_path
2.512,3.536,0.0,0,drivable_path
0.277,1.051,0.033,2,Mid_ph
0.397,0.647,0.043,2,Mid_ph
2.99,7.534,0.004,0,drivable_path
0.411,1.444,0.04,2,Mid_ph
2.694,7.309,0.002,0,drivable_path
0.425,1.262,0.037,2,Mid_ph
2.868,6.15,0.007,0,drivable_path
2.62,7.464,0.004,0,drivable_path
2.74,2.637,0.007,0,drivable_path
3.471,3.59,0.007,0,drivable_path
0.288,0.609,0.04,2,Mid_ph
2.64,4.615,0.0,0,drivable_path
0.554,2.756,0.221,3,Crater
2.974,5.344,0.006,0,drivable_path
3.74,7.404,0.006,0,drivable_path
3.576,3.227,0.005,0,drivable_path
2.692,3.135,0.0,0,drivable_path
0.606,3.342,0.129,3,Crater
3.535,5.974,0.006,0,drivable_path
0.274,1.395,0.048,2,Mid_ph
0.333,0.451,0.027,2,Mid_ph
0.303,0.513,0.042,2,Mid_ph
2.848,4.176,0.003,0,drivable_path
2.553,7.363,0.006,0,drivable_path
3.382,4.633,0.005,0,drivable_path
0.263,1.202,0.028,2,Mid_ph
2.726,7.489,0.0,0,drivable_path
1.241,1.811,0.075,3,Crater
3.431,7.821,0.003,0,drivable_path
0.307,1.245,0.046,2,Mid_ph
2.675,5.128,0.003,0,drivable_path
3.163,5.833,0.007,0,drivable_path
2.721,7.211,0.006,0,drivable_path
0.249,0.502,0.017,1,Sml_ph
3.608,7.566,0.004,0,drivable_path
0.689,3.115,0.192,3,Crater
2.704,6.265,0.003,0,drivable_path
1.413,1.72,0.123,3,Crater
2.509,4.029,0.006,0,drivable_path
3.694,3.84,0.001,0,drivable_path
0.467,1.416,0.027,2,Mid_ph
3.431,5.965,0.007,0,drivable_path
0.34,0.741,0.03,2,Mid_ph
2.694,6.54,0.002,0,drivable_path
2.122,1.997,0.163,3,Crater
3.414,6.806,0.005,0,drivable_path
3.623,6.694,0.002,0,drivable_path
0.242,1.229,0.028,2,Mid_ph
3.155,3.059,0.007,0,drivable_path
3.501,7.603,0.006,0,drivable_path
2.627,6.091,0.008,0,drivable_path
1.247,2.239,0.105,3,Crater
2.565,7.587,0.001,0,drivable_path
0.264,1.373,0.041,2,Mid_ph
3.468,6.192,0.003,0,drivable_path
3.042,5.081,0.001,0,drivable_path
3.584,3.128,0.006,0,drivable_path
2.993,4.791,0.0,0,drivable_path
0.674,0.211,0.012,1,Sml_ph
3.442,7.346,0.002,0,drivable_path
0.242,0.64,0.042,2,Mid_ph
0.331,1.23,0.026,2,Mid_ph
0.447,0.778,0.05,2,Mid_ph
3.574,7.519,0.002,0,drivable_path
2.685,7.649,0.004,0,drivable_path
0.423,0.244,0.014,1,Sml_ph
3.01,3.253,0.005,0,drivable_path
0.237,1.323,0.044,2,Mid_ph
2.874,5.747,0.003,0,drivable_path
3.689,3.152,0.007,0,drivable_path
0.214,0.782,0.033,2,Mid_ph
3.498,3.049,0.002,0,drivable_path
1.573,3.4,0.243,3,Crater
0.396,1.49,0.05,2,Mid_ph
2.971,6.456,0.007,0,drivable_path
0.493,0.78,0.042,2,Mid_ph
3.669,5.072,0.002,0,drivable_path
0.242,1.084,0.036,2,Mid_ph
0.468,1.2,0.05,2,Mid_ph
2.619,6.491,0.001,0,drivable_path
2.705,3.412,0.007,0,drivable_path
0.615,0.674,0.018,1,Sml_ph
0.69,1.082,0.195,3,Crater
1.581,1.13,0.115,3,Crater
0.628,1.166,0.164,3,Crater
0.842,3.438,0.15,3,Crater
2.874,3.828,0.003,0,drivable_path
0.568,0.807,0.013,1,Sml_ph
3.316,4.239,0.006,0,drivable_path
2.633,7.995,0.005,0,drivable_path
3.06,4.191,0.005,0,drivable_path
2.506,7.194,0.005,0,drivable_path
3.428,5.749,0.005,0,drivable_path
3.494,7.703,0.002,0,drivable_path
3.664,3.159,0.001,0,drivable_path
0.434,1.333,0.031,2,Mid_ph
3.747,6.355,0.005,0,drivable_path
0.381,0.883,0.032,2,Mid_ph
0.318,1.35,0.049,2,Mid_ph
3.67,6.792,0.004,0,drivable_path
3.087,6.534,0.007,0,drivable_path
0.404,0.557,0.027,2,Mid_ph
3.101,4.306,0.004,0,drivable_path
0.247,0.807,0.04,2,Mid_ph
0.484,0.545,0.016,1,Sml_ph
3.053,4.161,0.007,0,drivable_path
1.541,1.945,0.188,3,Crater
3.226,4.408,0.005,0,drivable_path
1.363,0.704,0.157,3,Crater
2.724,5.797,0.007,0,drivable_path
3.702,3.481,0.002,0,drivable_path
3.433,6.991,0.001,0,drivable_path
2.808,2.86,0.004,0,drivable_path
3.233,5.213,0.001,0,drivable_path
0.468,0.473,0.047,2,Mid_ph
3.264,5.99,0.003,0,drivable_path
2.662,5.116,0.002,0,drivable_path
3.396,4.971,0.002,0,drivable_path
2.528,2.995,0.006,0,drivable_path
2.59,7.131,0.0,0,drivable_path
2.798,7.172,0.0,0,drivable_path
0.462,0.531,0.031,2,Mid_ph
0.484,0.74,0.043,2,Mid_ph
2.606,4.381,0.006,0,drivable_path
3.02,2.771,0.003,0,drivable_path
3.193,3.097,0.005,0,drivable_path
3.141,4.881,0.0,0,drivable_path
2.228,3.352,0.12,3,Crater
0.493,0.682,0.037,2,Mid_ph
2.513,3.65,0.004,0,drivable_path
3.02,2.729,0.004,0,drivable_path
1.357,2.45,0.221,3,Crater
2.397,2.273,0.211,3,Crater
2.655,2.725,0.006,0,drivable_path
2.994,6.254,0.001,0,drivable_path
2.559,3.26,0.007,0,drivable_path
0.263,0.807,0.029,2,Mid_ph
3.305,7.025,0.004,0,drivable_path
2.638,5.911,0.002,0,drivable_path
2.464,2.361,0.136,3,Crater
3.474,3.24,0.004,0,drivable_path
2.668,4.51,0.001,0,drivable_path
1.159,1.908,0.164,3,Crater
3.582,6.567,0.006,0,drivable_path
2.851,4.338,0.001,0,drivable_path
3.554,7.465,0.008,0,drivable_path
2.993,4.255,0.005,0,drivable_path
3.573,2.525,0.004,0,drivable_path
2.895,6.746,0.005,0,drivable_path
3.113,7.658,0.005,0,drivable_path
2.952,2.982,0.001,0,drivable_path
2.896,7.395,0.005,0,drivable_path
0.6,0.78,0.017,1,Sml_ph
3.097,6.688,0.007,0,drivable_path
2.256,1.686,0.071,3,Crater
3.008,6.977,0.001,0,drivable_path
1.296,2.296,0.076,3,Crater
2.856,7.433,0.002,0,drivable_path
2.818,7.553,0.004,0,drivable_path
2.631,7.472,0.007,0,drivable_path
3.093,3.741,0.005,0,drivable_path
1.143,1.16,0.072,3,Crater
2.536,3.825,0.001,0,drivable_path
2.967,3.02,0.006,0,drivable_path
3.599,4.061,0.007,0,drivable_path
2.97,7.926,0.006,0,drivable_path
2.06,1.894,0.236,3,Crater
3.473,3.571,0.004,0,drivable_path
0.443,0.309,0.025,1,Sml_ph
0.591,3.314,0.218,3,Crater
2.653,7.071,0.001,0,drivable_path
0.408,0.371,0.011,1,Sml_ph
3.375,4.218,0.007,0,drivable_path
2.686,5.296,0.003,0,drivable_path
3.23,6.074,0.001,0,drivable_path
0.328,0.362,0.042,2,Mid_ph
0.88,1.43,0.243,3,Crater
0.326,1.209,0.046,2,Mid_ph
3.347,2.663,0.003,0,drivable_path
3.729,4.806,0.004,0,drivable_path
2.011,1.347,0.216,3,Crater
1.424,2.51,0.161,3,Crater
0.48,0.552,0.024,1,Sml_ph
3.048,5.119,0.008,0,drivable_path
3.112,7.92,0.004,0,drivable_path
3.344,6.423,0.006,0,drivable_path
2.972,4.668,0.001,0,drivable_path
2.395,1.774,0.212,3,Crater
3.1,6.258,0.002,0,drivable_path
1.807,2.551,0.138,3,Crater
2.391,1.697,0.204,3,Crater
0.312,0.8,0.023,1,Sml_ph
0.401,0.455,0.032,2,Mid_ph
2.716,5.29,0.008,0,drivable_path
3.401,7.798,0.006,0,drivable_path
2.896,2.698,0.003,0,drivable_path
3.235,3.438,0.007,0,drivable_path
3.62,6.194,0.002,0,drivable_path
0.413,0.332,0.026,2,Mid_ph
2.923,7.145,0.004,0,drivable_path
0.619,0.647,0.021,1,Sml_ph
2.703,6.751,0.007,0,drivable_path
2.909,4.587,0.005,0,drivable_path
3.461,3.093,0.007,0,drivable_path
0.362,1.283,0.027,2,Mid_ph
3.372,3.018,0.008,0,drivable_path
2.074,1.559,0.226,3,Crater
2.325,2.158,0.176,3,Crater
3.151,4.914,0.0,0,drivable_path
0.446,0.931,0.05,2,Mid_ph
3.537,6.882,0.002,0,drivable_path
3.417,6.625,0.003,0,drivable_path
2.832,7.83,0.006,0,drivable_path
3.251,3.69,0.003,0,drivable_path
1.318,1.851,0.177,3,Crater
0.458,0.501,0.025,2,Mid_ph
3.239,6.244,0.003,0,drivable_path
0.454,0.348,0.036,2,Mid_ph
2.444,2.644,0.147,3,Crater
2.852,6.127,0.006,0,drivable_path
0.394,0.711,0.035,2,Mid_ph
2.897,2.93,0.0,0,drivable_path
3.7,3.067,0.0,0,drivable_path
3.337,4.904,0.007,0,drivable_path
0.285,0.754,0.023,1,Sml_ph
3.651,3.41,0.002,0,drivable_path
0.396,1.288,0.029,2,Mid_ph
2.841,2.778,0.005,0,drivable_path
2.951,5.32,0.006,0,drivable_path
0.234,0.933,0.015,1,Sml_ph
1.374,3.485,0.148,3,Crater
3.477,3.108,0.008,0,drivable_path
0.317,0.62,0.011,1,Sml_ph
0.973,0.742,0.082,3,Crater
0.435,0.567,0.018,1,Sml_ph
3.145,4.219,0.0,0,drivable_path
2.788,2.706,0.004,0,drivable_path
0.337,0.588,0.041,2,Mid_ph
3.533,7.429,0.001,0,drivable_path
0.878,1.598,0.07,3,Crater
2.692,5.805,0.001,0,drivable_path
2.211,1.144,0.169,3,Crater
2.573,4.516,0.004,0,drivable_path
2.294,1.979,0.063,3,Crater
2.805,7.14,0.005,0,drivable_path
3.547,5.218,0.001,0,drivable_path
2.706,2.747,0.003,0,drivable_path
3.092,3.968,0.003,0,drivable_path
0.353,1.389,0.035,2,Mid_ph
3.202,6.856,0.006,0,drivable_path
2.913,7.617,0.0,0,drivable_path
3.456,5.991,0.004,0,drivable_path
0.205,0.375,0.023,1,Sml_ph
2.243,2.439,0.136,3,Crater
3.011,3.697,0.005,0,drivable_path
3.592,3.895,0.005,0,drivable_path
0.822,2.847,0.15,3,Crater
3.461,7.186,0.004,0,drivable_path
0.221,0.363,0.025,2,Mid_ph
3.226,4.75,0.005,0,drivable_path
0.241,1.332,0.033,2,Mid_ph
0.322,0.974,0.043,2,Mid_ph
3.212,5.746,0.007,0,drivable_path
0.241,0.365,0.012,1,Sml_ph
3.264,2.8,0.005,0,drivable_path
3.296,3.171,0.005,0,drivable_path
2.716,3.004,0.001,0,drivable_path
0.347,1.059,0.033,2,Mid_ph
3.503,6.787,0.005,0,drivable_path
0.242,1.249,0.032,2,Mid_ph
3.531,4.207,0.001,0,drivable_path
2.449,0.834,0.181,3,Crater
0.492,0.788,0.022,1,Sml_ph
2.561,3.79,0.005,0,drivable_path
1.635,1.752,0.14,3,Crater
2.61,6.118,0.003,0,drivable_path
1.762,1.608,0.183,3,Crater
3.336,5.091,0.005,0,drivable_path
3.311,6.186,0.006,0,drivable_path
3.505,6.435,0.006,0,drivable_path
2.871,7.719,0.007,0,drivable_path
2.505,2.591,0.008,0,drivable_path
0.207,0.692,0.03,2,Mid_ph
2.355,2.332,0.184,3,Crater
